Geneid,wt_CON,wt_DOX
ENSMUSG00000001865,10,15
ENSMUSG00000001870,26,555
ENSMUSG00000001891,6621,4800
ENSMUSG00000001901,0,2
ENSMUSG00000001909,1746,1976
ENSMUSG00000001910,3933,3394
ENSMUSG00000001911,340,273
ENSMUSG00000001918,1859,1043
ENSMUSG00000001924,16450,14182
ENSMUSG00000001930,4123,3806
ENSMUSG00000001942,4489,3003
ENSMUSG00000001943,0,2
ENSMUSG00000001946,10,27
ENSMUSG00000001948,24,7
ENSMUSG00000001962,3725,3781
ENSMUSG00000001964,2401,1517
ENSMUSG00000001983,641,333
ENSMUSG00000001985,0,0
ENSMUSG00000001986,8,274
ENSMUSG00000001988,33,20
ENSMUSG00000001995,2429,2294
ENSMUSG00000001998,1283,802
ENSMUSG00000001999,6323,3602
ENSMUSG00000002006,13,23
ENSMUSG00000002007,4,12
ENSMUSG00000002010,3760,2429
ENSMUSG00000002012,12,12
ENSMUSG00000002014,2898,2633
ENSMUSG00000002015,8075,6342
ENSMUSG00000002017,1869,1129
ENSMUSG00000002020,119,1030
ENSMUSG00000002028,5964,4230
ENSMUSG00000002031,1650,902
ENSMUSG00000002032,88,34
ENSMUSG00000002033,0,2
ENSMUSG00000002043,557,300
ENSMUSG00000002052,7962,6864
ENSMUSG00000002055,68,188
ENSMUSG00000002057,0,0
ENSMUSG00000002058,664,543
ENSMUSG00000002059,270,377
ENSMUSG00000002064,3891,2063
ENSMUSG00000002068,218,249
ENSMUSG00000002083,497,1236
ENSMUSG00000002100,8,14
ENSMUSG00000002102,8506,5557
ENSMUSG00000002103,21472,7602
ENSMUSG00000002104,80,57
ENSMUSG00000002105,1028,874
ENSMUSG00000002107,13183,5675
ENSMUSG00000002108,2116,2824
ENSMUSG00000002109,242,130
ENSMUSG00000002111,11460,9759
ENSMUSG00000002129,2829,2002
ENSMUSG00000002147,16966,10693
ENSMUSG00000002190,10,4
ENSMUSG00000002204,1908,444
ENSMUSG00000002205,2127,1244
ENSMUSG00000002210,1870,843
ENSMUSG00000002221,1291,910
ENSMUSG00000002222,6601,4955
ENSMUSG00000002227,1945,1101
ENSMUSG00000002228,12,27
